SAMPLE_NAME,PI_LAST_NAME,PI_FIRST_NAME,ORGANISM,STRAIN,EXP_DATE,EXP_GROWTH_MEDIUM,EXP_MODIF_GROWTH,EXP_TEMPERATURE,EXP_SALINITY,EXP_PH,EXP_LIGHT,EXP_DAY_PORTION_OF_DAY,EXP_NIGHT_PORTION_OF_DAY,EXP_NITRATE,EXP_AMMONIUM,EXP_PHOSPHATE,EXP_SILICATE,EXP_DISSOLVED_OXYGEN,EXP_TOTAL_FE,EXP_DOC,EXP_LIST_AA_AND_CONCENTRATIONS,EXP_TRACE_ELEMENTS_TOTAL,EXP_CO2_PPM,EXP_UREA,EXP_PREY_ORGANISM,ENV_LATITUDE,ENV_LONGITUDE,ENV_DEPTH,ENV_ELEVATION,ENV_SALINITY,ENV_TEMPERATURE,ENV_PH,ENV_COLLECTION_DATE,ENV_COLLECTION_TIME,GEO_LOC_NAME,BIOME,HABITAT_DESCRIPTION,CAMERA_SAMPLE_ACC,CLONAL,AXENIC
MMETSP1131,Floge,Sheri,Isochrysis sp.,CCMP1324,01-DEC-11,f/2 amended seawater,"f/2 nutrients, no silica",16,34,8.1,200,16,8,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,,,,CAM_SMPL_002652,1,1
MMETSP1132,Floge,Sheri,Isochrysis sp.,CCMP1324,01-DEC-11,f/2 amended seawater,"f/2 nutrients, no silica",16,34,8.1,200,16,8,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,,,,CAM_SMPL_002653,1,1
MMETSP0108,Palenik,Brian,Goniomonas Pacifica,CCMP1869,15-MAR-11,f/4 amended seawater,,20,34,8,20,24,0,441.23,0,18.15,0,,,,,12.25,,,Synechococcus CC9311,,,,,,,,,,,,,CAM_SMPL_002386,1,0
MMETSP0190_2,Pawlowski,Jan,Rosalina sp.,,25-MAR-11,1/8 Erdschreiber media plus filtered sea water,,22,35,8,,10,14,12,4,2,1,,,,,15,,,"Chlorella sp., bacteria, diatoms",,,,,,,,,,,,,CAM_SMPL_002445,1,0
MMETSP0295,Dyhrman/Juhl,Sonya/Andrew,Heterosigma akashiwo,CCMP2393,06-NOV-11,L1,Low P (see below),18,32,8.3,100,14,10,571,0,0.2,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002510,1,0
MMETSP1126,Floge,Sheri,Dunaliella tertiolecta,CCMP1320,01-DEC-11,f/2 amended seawater,"f/2 nutrients, no silica",16,31,8.1,200,16,8,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,,,,CAM_SMPL_002639,1,1
MMETSP1071,Armbrust,Virginia,Thalassiosira sp.,NH16,23-AUG-11,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,,,,,,,,01-MAY-10,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002640,1,0
MMETSP0106_2,Palenik,Brian,Acanthoeca-like sp.,10tr,15-MAR-11,f/4 amended seawater,,20,34,8,20,24,0,441.23,0,18.15,0,,,,,12.25,,,Synechococcus CC9311,,,,,,,,,,,,,CAM_SMPL_002388,1,0
MMETSP1128,Floge,Sheri,Dunaliella tertiolecta,CCMP1320,01-DEC-11,f/2 amended seawater,"f/2 nutrients, no silica",16,31,8.1,200,16,8,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,,,,CAM_SMPL_002645,1,1
MMETSP1129,Floge,Sheri,Isochrysis sp.,CCMP1324,01-DEC-11,f/2 amended seawater,"f/2 nutrients, no silica",16,34,8.1,200,16,8,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,,,,CAM_SMPL_002646,1,1
MMETSP0101,Palenik,Brian,Pteridomonas danica,PT,15-MAR-11,f/4 amended seawater,,20,34,8,20,24,0,441.23,0,18.15,0,,,,,12.25,,,Unknown bacteria,,,,,,,,,,,,,CAM_SMPL_002393,1,0
MMETSP0945,Rumpho,Mary,Vaucheria litorea,CCMP2940,30-JUN-11,modified f/2 media,Final molar concentration of vitamins as follows: Thiamine - HCl =1.184E-07M; Biotin=1.60E-07M; Vitamin B12=2.95E-08M,18,32,7.5,7,12,12,0.352,0,0.0144,0,,5.54,,,0.4377,,,,,,0.1,,,,,01-JUL-07,,Atlantic Ocean,,salt marsh,CAM_SMPL_002655,0,0
MMETSP0947,Coyne,Kathryn,Chattonella subsalsa,CCMP2191,02-AUG-11,ESAW medium,nitrogen source added at 100 uM concentrations,25,20,8,50,12,12,0,100,22,0,,,,,850,,0,,,,,,,,,,,,,,CAM_SMPL_002662,0,0
MMETSP0102,Palenik,Brian,Pteridomonas danica,PT,15-MAR-11,f/4 amended seawater,,20,34,8,20,24,0,441.23,0,18.15,0,,,,,12.25,,,Synechococcus CC9311,,,,,,,,,,,,,CAM_SMPL_002394,1,0
MMETSP0202,Van Dolah,Frances,Karenia brevis,Wilson,07-APR-08,f/2 amended seawater,,25,36,8.3,50,16,8,883,0,36,0,,,,,25,,,,,,,,,,,01-JAN-53,,Gulf of Mexico,Acquatic: marine,coastal harmful algal bloom,CAM_SMPL_002457,,0
MMETSP0325_2,Deschamps,Philippe,Crypthecodinium cohnii,Seligo,20-APR-11,"MLH (Tuttle & Loeblich, 1975)","Double Amount of vitamins, 10 g/L glucose",27,30,7.5,,0,24,0,3000,790,0,,,,,1800,,,,,,,,,,,,,,Acquatic: marine,,CAM_SMPL_002529,1,1
MMETSP1034,Moran,Mary Ann,Lingulodinium polyedra,CCMP 1738,09-SEP-11,f/2 - Si artificial seawater,"f/2 for all nutrients, minus the addition of Si",18,28,8.3,150,12,12,882,0,36.2,0,,,,,24500,,,,27.8,97.13,,,,,,,,Gulf of Mexico,Acquatic: marine,Gulf of Mexico off the coast of Texas,CAM_SMPL_002588,1,0
MMETSP0117_2,Keeling,Patrick,Durinskia baltica,CSIRO CS-38,02-MAR-11,GSe amended sea water,48 hours before harvest antibiotics were added to medium: 500 mg/L penicillin; 200 mg/L ampicillin; 100 mg/L streptomycin; 100 mg/L neomycin,22,18,8,0,0,48,1000,0,50,15,,,,,12000,,,,,,,,,,,01-JAN-75,,,Acquatic: marine,,CAM_SMPL_002397,0,0
MMETSP0205,Lynn,Denis,Euplotes focardii,TN1,09-MAY-11,Cells were grown in natural sea water collected in Adriatic Sea. Twice per week 50ml of the algae Dunaliella tertiolecta grown in Walne's medium (http://www.ccap.ac.uk/media/recipes/Walnes.htm) were added to each one-liter cell cultures,,4,35,8,,12,12,300,100,50,100,,,,,750,,,,,,,,,,,01-JAN-88,,Terra Nova Bay,Acquatic: marine,,CAM_SMPL_002460,1,0
MMETSP0017_2,Armbrust,Virginia,Cylindrotheca closterium,KMMCC:B-181,13-MAY-08,K+Si,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.4938,,,,48.75,-3.95,,,,,,03-DEC-09,,Station Roscoff Astan,Acquatic: marine,,CAM_SMPL_002329,,0
MMETSP0118_2,Keeling,Patrick,Glenodinium foliaceum,CCAP 1116/3,24-FEB-11,F/2-Si amended sea water,48 hours before harvest antibiotics were added to medium: 500 mg/L penicillin; 200 mg/L ampicillin; 100 mg/L streptomycin; 100 mg/L neomycin,22,21,8,550,12,12,882,0,36.2,0,,,,,23000,,,,,,,,,,,01-JAN-80,,"York River, Chesapeake Bay,",Acquatic: marine,,CAM_SMPL_002398,0,0
MMETSP0206,Lynn,Denis,Euplotes focardii,TN1,05-SEP-11,Cells were grown in natural sea water collected in Adriatic Sea. Twice per week 50ml of the algae Dunaliella tertiolecta grown in Walne's medium (http://www.ccap.ac.uk/media/recipes/Walnes.htm) were added to each one-liter cell cultures,,18,35,8,,12,12,300,100,50,100,,,,,750,,,,,,,,,,,01-JAN-88,,Terra Nova Bay,Acquatic: marine,,CAM_SMPL_002461,1,0
MMETSP0451_2C,Lin,Senjie,Oxyrrhis marina,CCMP1795,15-APR-11,f/100 amended seawater,,20,28,8.1,100,12,12,17.6,0,0.72,0,,,,,0.234,,,Dunaliella tertiolecta (CCMP1320) and Synechococcus sp. (CCMP2515),,,,,,,,,,,,,CAM_SMPL_002564,,
MMETSP0469,Menden-Deuer,Susanne,Oxyrrhis marina,,15-DEC-11,seawater,"0.2um filtered, autoclaved",15,29.4,,8,12,12,,,,,,,,,,,,Heterosigma akashiwo NB,,,,,,,,,,,,,CAM_SMPL_002566,0,0
MMETSP0043_2,Archibald,John,Hemiselmis andersenii,CCMP644,01-OCT-10,K medium,without SiO2,17,30,7.5,,6,18,882,50,10,0,,11.7,,,14.09,,,,,,0,,,,,,,Gulf of Mexico,,,CAM_SMPL_002351,,0
MMETSP0119_2,Keeling,Patrick,Glenodinium foliaceum,CCAP 1116/3,26-FEB-11,F/2-Si amended sea water,48 hours before harvest antibiotics were added to medium: 500 mg/L penicillin; 200 mg/L ampicillin; 100 mg/L streptomycin; 100 mg/L neomycin,22,21,8,0,0,48,882,0,36.2,0,,,,,23000,,,,,,,,,,,01-JAN-80,,"York River, Chesapeake Bay,",Acquatic: marine,,CAM_SMPL_002401,0,0
MMETSP0201,Van Dolah,Frances,Karenia brevis,Wilson,07-APR-08,f/2 amended seawater,,25,36,8.3,50,16,8,883,0,36,0,,,,,25,,,,,,,,,,,01-JAN-53,,Gulf of Mexico,Acquatic: marine,coastal harmful algal bloom,CAM_SMPL_002468,,0
MMETSP0470,Menden-Deuer,Susanne,Oxyrrhis marina,,26-JAN-12,seawater,"0.2um filtered, autoclaved",15,29.4,,8,12,12,,,,,,,,,,,,Isochrysis galbana CCMP1323,,,,,,,,,,,,,CAM_SMPL_002567,0,0
MMETSP0419_2,D'ADAMO,SARAH,Tetraselmis sp.,GSL018,16-MAY-11,f72 amended sea water,none,29,0,8,25.7,11,13,882,0,31.25,105,,,,,23333000,,,,,,,,,,,,,,,,CAM_SMPL_002579,1,1
MMETSP0039_2,Archibald,John,Eutreptiella gymnastica,NIES-381,16-NOV-10,f/2,,20,35,8,200,14,10,882,0,36,0,,,,,23000,,,,,,,,,,,,,,,,CAM_SMPL_002353,,1
MMETSP0040_2,Archibald,John,Lotharella oceanica,CCMP622,23-NOV-11,K,K without silicate,25,35,7.2,,12,12,882,50,10,0,,,,,122766,,,,,,,,,,,,,,,,CAM_SMPL_002354,,1
MMETSP0109,Keeling,Patrick,Chlorarachnion reptans,CCCM449,26-FEB-11,ESM medium,,20,35,8,55,12,12,1410,0,29,0,,,,,0,,,,,,,,,,,01-JUN-66,,OTHER,Acquatic: marine,,CAM_SMPL_002403,1,0
MMETSP0224,Saldarriaga,Juan,Togula jolla,CCCM 725,24-JUN-11,HESNW,no silica,18,30,7,3800,14,10,3,0.11,0.3,0,,,,,0,,,,,,,,,,,,,,,,CAM_SMPL_002471,,0
MMETSP1041,Archibald,John,Hemiselmis andersenii,CCMP439,01-DEC-11,K,K without silicate,23,0,8,,12,12,882,50,10,0,,,,,122766,,,,,,,,,,,,,,,,CAM_SMPL_002595,,
MMETSP0063_2,Aurora,Nedelcu,Chlamydomonas euryale,CCMP219,15-MAY-11,SN,,22,32,8,40,12,12,9000,0,99,0,,,,,9.5,,,,,,,,32,,,07-JUL-55,,,,,CAM_SMPL_002367,1,1
MMETSP0116_2,Keeling,Patrick,Durinskia baltica,CSIRO CS-38,28-FEB-11,GSe amended sea water,48 hours before harvest antibiotics were added to medium: 500 mg/L penicillin; 200 mg/L ampicillin; 100 mg/L streptomycin; 100 mg/L neomycin,22,18,8,550,12,12,1000,0,50,15,,,,,12000,,,,,,,,,,,01-JAN-75,,,Acquatic: marine,,CAM_SMPL_002410,0,0
MMETSP0229_2,Saldarriaga,Juan,Pyrocystis lunula,CCCM 517,02-JUN-11,HESNW,no silica,23,30,7,3800,14,10,3,0.11,0.3,0,,,,,0,,,,,,,,,,,,,,,,CAM_SMPL_002474,,0
MMETSP1043,Archibald,John,Hemiselmis andersenii,CCMP441,01-DEC-11,K,K without silicate,23,0,8,,12,12,882,50,10,0,,,,,122766,,,,,,,,,,,,,,,,CAM_SMPL_002597,,
MMETSP0145,Dyhrman/Juhl,Sonya/Andrew,Chrysochromulina polylepis,CCMP1757,15-OCT-11,L1,Low N,15,32,8.3,100,14,10,5,0,36,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002417,1,1
MMETSP0227,Saldarriaga,Juan,Polarella glacialis,CCMP 1383,18-JUL-11,HESNW,no silica,4,30,7,3800,14,10,3,0.11,0.3,0,,,,,0,,,,,,,,,,,01-JUN-91,,McMurdo Sound,,,CAM_SMPL_002476,,0
MMETSP1049,Archibald,John,Proteomonas sulcata,CCMP704,01-DEC-11,f/2-Si,,23,0,8,,12,12,882,0,26,0,,,,,115345,,,,,,,,,,,,,,,,CAM_SMPL_002600,,
MMETSP1050,Archibald,John,Cryptomonas curvata,CCAP979/52,01-DEC-11,JM,,23,0,8,,12,12,1025,0.8,191,0,,,,,8600,,,,,,,,,,,,,,,,CAM_SMPL_002601,,0
MMETSP0044,Slamovits,Claudio,Oxyrrhis marina,CCMP1788,01-DEC-10,f/2 amended seawater,"added Valine, Cholesterol and Ubiquinone",25,18.5,8,,16,8,880,100,36,0,,,,,276,,,,,,,,,,,,,,,"rocky shores, tide pools",CAM_SMPL_002371,,0
MMETSP0232,Govind,Nadathur,Debaryomyces hansenii,J26,14-JUL-11,Yeast-Peptone-Dextrose (2% each) Broth,none,25,,6.5,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,CAM_SMPL_002491,1,1
MMETSP1052,Archibald,John,Bigelowiella natans,CCMP623,01-DEC-11,K,K without silicate,23,0,8,,12,12,882,50,10,0,,,,,122766,,,,,,,,,,,,,,,,CAM_SMPL_002602,,
MMETSP0046_2,Archibald,John,Guillardia theta,CCMP 2712,25-NOV-10,h/2,h/2 without silicate,23,35,7.2,,12,12,882,500,10,0,,,,,122766,,,,,,,,,,,,,,,,CAM_SMPL_002373,,1
MMETSP0965,Collier,Jackie,Schizochytrium aggregatum,ATCC28209,10-JUN-12,artificial seawater with 0.125% Spartina detritus(0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean), dried and ground Spartina (0.125% wt:vol), solidified 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,8,53,,,,,,15-JUL-63,,North Sea,Acquatic: marine,Seawater off West Germany,CAM_SMPL_002689,1,1
MMETSP0211,Lynn,Denis,Pseudokeronopsis sp.,OXSARD2,01-FEB-12,"autoclaved artificial seawater (Red Sea Salt, Red Sea, http://www.redseafish.com)",,19,33,8.2,300,12,12,,,,,,,,,,,,Pheodactylum tricornutum,38.54,8.46,,,33,19,8,01-APR-99,11:00 PM,Tyrrhenian Sea,Acquatic: marine,marine tidal pools,CAM_SMPL_002469,1,0
MMETSP0033_2,Worden,Alexandra,Dolichomastix tenuilepis,CCMP3274,01-NOV-10,f/2-Si natural sea water (Bay of Fundy),f/2 for all nutrients except omitted silicate,21,35,8.2,100,14,10,882,0,36,0,,,,,12795,,,,40.5,14.25,,,,,,06-JUL-94,,Mediterranean Sea,Acquatic: marine,,CAM_SMPL_002361,,
MMETSP1036_2,John,Uwe,Azadinium spinosum,3D9,15-MAY-11,half stength K (Keller et al. 1987) amended seawater,supplemented with selenite (Dahl et al. 1989),20,32,8,90,14,10,88,0,3.6,0,,1.17,,,107.6,,,,57.0525,2.50056,,0,34,12,,15-JUN-07,,North Sea,,coastal North Sea water,CAM_SMPL_002590,1,1
MMETSP1037_2,John,Uwe,Azadinium spinosum,3D9,15-MAY-11,half stength K (Keller et al. 1987) amended seawater,supplemented with selenite (Dahl et al. 1989),15,32,8,90,14,10,88,0,3.6,0,,1.17,,,107.6,,,,57.0525,2.50056,,0,34,12,,15-JUN-07,,North Sea,,coastal North Sea water,CAM_SMPL_002591,1,1
MMETSP0963,Collier,Jackie,Schizochytrium aggregatum,ATCC28209,24-MAY-12,artificial seawater with 1% horse serum (0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean) plus 0.8% agar autoclaved, then filter sterilized horse serum (1% vol:vol) added just before pouring plates",23,25,8,,,,0,0,0,0,,,,,0,,,,8,53,,,,,,15-JUL-63,,North Sea,Acquatic: marine,Seawater off West Germany,CAM_SMPL_002676,1,1
MMETSP1016,Wawrik/Sinclair,Boris/Geoff,Karlodinium micrum,CCMP2283,01-JUL-07,L1,none,22,20,8.2,60,12,12,0.04,0,60,0,,,,,1170,,,none,32.2167,80.7355,,,,,,,,,,coastal,CAM_SMPL_002693,,0
MMETSP0329,Montresor,Marina,Pseudo-nitzschia arenysensis,B593,28-APR-11,f/2,,20,36,0.347222222,100,12,12,883,0,36.3,107,,,,,24500,,,,40.8083,14.25,,,37.1509,14.5162,,11-JAN-11,,Mediterranean Sea,Acquatic: marine,"coastal waters, surface layer",CAM_SMPL_002533,1,0
MMETSP1038_2,John,Uwe,Azadinium spinosum,3D9,15-MAY-11,half stength K (Keller et al. 1987) amended seawater,supplemented with selenite (Dahl et al. 1989),20,26,8,90,14,10,88,0,3.6,0,,1.17,,,107.6,,,,57.0525,2.50056,,0,34,12,,15-JUN-07,,North Sea,,coastal North Sea water,CAM_SMPL_002592,1,1
MMETSP0962,Collier,Jackie,Schizochytrium aggregatum,ATCC28209,06-JUN-12,ATCC medium 790BY+ (0.8% agar plates),"glucose, peptone, yeast extract at half concentration; 25g Instant Ocean per liter instead of filtered seawater; solidified with 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,8,53,,,,,,15-JUL-63,,North Sea,Acquatic: marine,Seawater off West Germany,CAM_SMPL_002670,1,1
MMETSP0027,Wawrik/Sinclair,Boris/Geoff,Karenia brevis,CCMP2229,01-AUG-07,L1,none,22,32,8.2,60,12,12,60,0,60,0,,,,,1170,,,none,27.0171,82.4763,,,,,,,,,,coastal,CAM_SMPL_002356,1,0
MMETSP0322,ZINGONE,ADRIANA,Leptocylindrus danicus var. apora,B651,22-APR-11,K,,20,36,8.2,100,12,12,882,50,36.2,504,,,,,22770,,,,40.8083,14.25,2,,37.7,24.06,,21-AUG-10,,Mediterranean Sea,Acquatic: marine,"Coastal waters, Surface layer",CAM_SMPL_002527,1,0
MMETSP0361,Rengefors,Karin,Scrippsiella Hangoei,SHTV-5,15-JUN-11,f/2 amended sea water without silica,,3,30,7,20,12,12,883,0,36,100,,,,,20920,,,,59.51,23.13,40,,6.5,,,01-JUL-08,,Baltic Sea,,eutrophic coastal waters,CAM_SMPL_002525,1,0
MMETSP0370,Rengefors,Karin,Peridinium aciculiferum,PAER-2,15-JUN-11,MWC,Selenium added to a final concentration of 4.55 nmol/L,3,0,7,20,12,12,1000,0,50,100,,,,,20920,,,,18.6,59.85,,15,0,2,,01-FEB-04,,OTHER,Aquatic: freshwater,under ice in mesotrophic lake,CAM_SMPL_002534,1,0
MMETSP0031,Wawrik/Sinclair,Boris/Geoff,Karenia brevis,CCMP2229,01-AUG-07,L1,none,22,32,8.2,600,12,12,60,0,60,0,,,,,1170,,,none,27.0171,82.4763,,,,,,,,,,coastal,CAM_SMPL_002359,1,0
MMETSP1080,Worden,Alexandra,Micromonas sp,CCMP1646,09-DEC-11,f/2 amended natural sea water (Monterey Bay),silicate omitted,21,35,8.3,150,14,10,882,0,36,0,,,,,12795,,,,40.75,14.33,,,,,,01-JUL-73,,Gulf of Naples,Acquatic: marine,,CAM_SMPL_002611,,1
MMETSP0359,Rengefors,Karin,Scrippsiella Hangoei,SHTV-5,15-JUN-11,MWC,Selenium added to a final concentration of 4.55 nmol/L,3,0,7,20,12,12,1000,0,50,100,,,,,20920,,,,59.51,23.13,40,,6.5,,,01-JUL-08,,Baltic Sea,,eutrophic coastal waters,CAM_SMPL_002520,1,0
MMETSP0786,Armbrust,Virginia,Thalassionema frauenfeldii,CCMP 1798,05-DEC-10,L1+Si,,20,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,447,,,18.47,64.575,,,,,,21-JAN-95,,Caribbean Sea,Acquatic: marine,,CAM_SMPL_002790,,0
MMETSP0287,Edvardsen,Bente,Chrysochromulina rotalis,UIO044,31-MAR-11,IMR 1/2 (Eppley et al 1967),"added 10 nM Se, without HCl and Si",16,25,8.2,50,12,12,248,0,25,18,,2,not measssured,,10,,,,58.11,9.06,0,,,,,30-JUN-90,,North Sea,Acquatic: marine,coastal water,CAM_SMPL_002501,0,0
MMETSP1039,Romano,Giovanna,Skeletonema marinoi,FE7,15-SEP-11,f/2 amended sea water,,20,36,8.2,100,12,12,883,0,36.3,107,,,,,24500,,,,43.5,14.5,2,,37.0423,18,,15-MAR-97,,Adriatic Sea,Acquatic: marine,"coastal waters, surface layer",CAM_SMPL_002593,1,0
MMETSP0013_2,Armbrust,Virginia,Skeletonema costatum,1716,13-MAY-08,K+Si,,15,21,8,166,16,8,882,50,0,504,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",123.766,,,,48.45,3.57,,,,15,,01-JAN-08,,English Channel,Acquatic: marine,,CAM_SMPL_002340,,0
MMETSP1068,Armbrust,Virginia,Pseudopedinella elastica,CCMP716,13-OCT-11,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,43,68,,,,,,30-SEP-88,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002632,1,0
MMETSP0272,Wawrik/Sinclair,Boris/Geoff,Scrippsiella trochoidea,CCMP3099,01-AUG-11,L1,none,22,32,8.2,60,12,12,60,0,0,0,,,,,1170,,,none,27.3122,82.601,,,,,,,,,,coastal,CAM_SMPL_002516,0,0
MMETSP0418,Ashworth,Matt,Astrosyne radiata,13vi08-1A,,f/2 enriched seawater,,27,0,8.1,61,13,11,882,0,362,106,,,,,24571.2,,,,13.4427,144.6428,,,,,,13-JUN-08,,,Acquatic: marine,"Collected in the macroalgal turf managed by ""farmer"" damselfish",CAM_SMPL_002578,1,0
MMETSP0378,Moran,Mary Ann,Alexandrium tamarense,CCMP1771,17-MAY-11,F/20 amended seawater,minus Si,18,30,6.8,150,16,8,88.2,0,3.62,0,,,,,2450,,,,50.6,4.25,,,,16,8.1,01-JAN-57,,English Channel,Acquatic: marine,"Tamar Estuary, Plymouth, England, United Kingdom",CAM_SMPL_002542,1,1
MMETSP0794_2,Armbrust,Virginia,Stephanopyxis turris,CCMP 815,20-OCT-10,F/2+Si,,20,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.4938,447,,,29.4666,86.121,,,,,,01-MAY-80,,Gulf of Mexico,Acquatic: marine,,CAM_SMPL_002801,,0
MMETSP0112_2,Keeling,Patrick,Lotharella globosa,CCCM811,09-MAY-11,ESM medium,,20,35,8,55,12,12,1410,0,29,0,,,,,0,,,,13.4,144.7,,,,,,12-FEB-90,,OTHER,Acquatic: marine,,CAM_SMPL_002406,1,0
MMETSP0380,Moran,Mary Ann,Alexandrium tamarense,CCMP1771,17-MAY-11,F/20 amended seawater,minus Si,18,30,6.8,150,16,8,88.2,0,3.62,0,,,,,2450,,,,50.6,4.25,,,,16,8.1,01-JAN-57,,English Channel,Acquatic: marine,"Tamar Estuary, Plymouth, England, United Kingdom",CAM_SMPL_002543,1,1
MMETSP1032,Moran,Mary Ann,Lingulodinium polyedra,CCMP 1738,09-SEP-11,f/2 - Si artificial seawater,"f/2 for all nutrients, minus the addition of Si",18,28,8.3,150,12,12,882,0,36.2,0,,,,,24500,,,,27.8,97.13,,,,,,,,Gulf of Mexico,Acquatic: marine,Gulf of Mexico off the coast of Texas,CAM_SMPL_002586,1,0
MMETSP0661,Murray,Shauna,Alexandrium margalefi,AMGDE01CS-322,10-JUL-11,GSe,none,18,35,7.8,60,12,12,,,,,,,,,,,,,43.03333,147.36667,,,,,,09-DEC-88,,"Derwent River, Tasmania",,"marine influenced estuary, plankton sample",CAM_SMPL_002788,1,0
MMETSP1318,Wilson,Willie,Partenskyella glossopodia,RCC365,15-JAN-12,K,,20,35,,100,12,12,,,,,,,,,,,,,37.4,15.61666667,5,,,,,26-SEP-99,,Mediterranean Sea,Aquatic: marine,,CAM_SMPL_002869,0,0
MMETSP0384,Moran,Mary Ann,Alexandrium tamarense,CCMP1771,17-MAY-11,F/20 amended seawater,minus Si,18,30,6.8,150,16,8,88.2,0,3.62,0,,,,,2450,,,,50.6,4.25,,,,16,8.1,01-JAN-57,,English Channel,Acquatic: marine,"Tamar Estuary, Plymouth, England, United Kingdom",CAM_SMPL_002539,1,1
MMETSP0399,Lin,Senjie,Amphidinium carterae,CCMP1314,15-MAY-11,f/2 amended seawater,,20,28,8.1,200,14,10,882,0,36.2,0,,,,,11.7,,,,41.56,70.583,,,,,,,,Atlantic Ocean,,,CAM_SMPL_002538,1,0
MMETSP1117,Wilson,William,Symbiodinium sp.,CCMP2430,01-OCT-11,f/2 amended seawater,"f/2 for all nutrients, no Na2SiO3 added",25,34,8.1,200,12,12,882,0,36.2,0,,,,,12794,,,,-23.5,152,,,,,,01-AUG-00,,Pacific Ocean,,,CAM_SMPL_002615,0,0
MMETSP1115,Wilson,William,Symbiodinium sp.,CCMP2430,01-OCT-11,f/2 amended seawater,"f/2 for all nutrients, no Na2SiO3 added",25,34,8.1,200,12,12,882,0,36.2,0,,,,,12794,,,,-23.5,152,,,,,,01-AUG-00,,Pacific Ocean,,,CAM_SMPL_002613,0,0
MMETSP0382,Moran,Mary Ann,Alexandrium tamarense,CCMP1771,17-MAY-11,F/20 amended seawater,minus Si,18,30,6.8,150,16,8,88.2,0,3.62,0,,,,,2450,,,,50.6,4.25,,,,16,8.1,01-JAN-57,,English Channel,Acquatic: marine,"Tamar Estuary, Plymouth, England, United Kingdom",CAM_SMPL_002536,1,1
MMETSP0258,Wawrik/Sinclair,Boris/Geoff,Amphidinium carterae,CCMP1314,01-AUG-11,L1,none,22,32,8.2,60,12,12,60,0,60,0,,,,,1170,,,none,41.56,70.583,,,,,,,,,,coastal,CAM_SMPL_002498,,0
MMETSP0011_2,Armbrust,Virginia,Rhodosorus marinus,CCMP 769,10-NOV-10,F/2-Si,Prepare as for f/2 medium but omit Na2SiO 3 · 9H2O,13,21,8,166,16,8,882,0,36.2,0,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.4938,,,,20.5,156.8,,,,,,,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002338,,0
MMETSP0164_2,Wheeler,Glen,Coccolithus pelagicus ssp braarudi,PLY182g,21-JUL-11,f/2 enrich filtered seawater,,15,35,8.3,110,14,10,882,,362,2,,,,,2449.38,,,,50.033,4.366,10,,,,,17-SEP-57,,English Channel,Acquatic: marine,,CAM_SMPL_002455,1,0
MMETSP0196C,Lin,Senjie,Alexandrium fundyense,CCMP1719,15-MAY-11,f/2 amended seawater,,15,28,8,200,14,10,882,0,36.2,0,,,,,11.7,,,,43.1,70.782,,,,,,,,Atlantic Ocean,,,CAM_SMPL_002463,1,0
MMETSP0132_2C,Lin,Senjie,Symbiodinium kawagutii,CCMP2468,15-APR-11,L1 amended seawater,,30,31,8.1,200,14,10,882,0,36.2,0,,,,,11.7,,,,21.25,158,,,35,,,,,Pacific Ocean,,,CAM_SMPL_002423,1,0
MMETSP0449_2,McManus,George,Strombidium rassoulzadegani,ras09,17-MAY-11,F/2 33 psu seawater,,19,33,8,100,12,12,900,0,36,0,,,,,10000,,,Tetraselmis chui PLY429,41,72,0,0,,,,01-JUN-09,,Atlantic Ocean,,tidepool,CAM_SMPL_002562,0,0
